CatalogID,ProductionDate,ReleaseDate,Number,ProductGroupID
36DDF8BB-74B4-4715-92AE-00C942CC150C,1994-12-23 00:00:00,1989-02-03 00:00:00,9802/7620,A2E464FA-1289-481A-B439-A6CBF5F0D0E5
C61E4053-CF63-4A16-B8BC-00CCE8A99D31,2006-06-30 00:00:00,1998-08-27 00:00:00,9802/7830,E6206E74-E250-492B-A203-F69326C31B4B
F95A7DE6-69ED-4AA4-B5BE-01804A1CFCD4,,2013-05-21 09:17:36,9822/0705,
0E97D67A-3CAD-46DF-A9A0-01D1FEBD2B7F,2005-09-30 09:54:36,1997-04-28 00:00:00,9802/7710,E6206E74-E250-492B-A203-F69326C31B4B
7A16E382-DFFD-4188-AD8C-02904879ED3B,,,9822/0945,59DE41B8-D56A-401C-BE0E-39CA6404D531
C907C7E9-975B-4C8A-AA53-035242DC5351,,2011-02-15 11:31:29,9822/0280,
7122BA8C-8FC7-4233-85AB-04189FFB6C7A,2005-05-31 13:09:46,2002-12-13 00:00:00,9802/2665,6F71BC1B-99E6-4B9A-9DD0-F2D279994F39
191B9908-F17F-4C06-9A6D-04BF692D4CFF,,2009-11-30 10:48:15,9802/6860,8ACF0782-5046-4AA2-ABB2-67AFC900A318
91F57C6A-C5A4-4C1C-AA83-04E15C8318E4,,2009-06-11 16:00:24,LIVELINK,01D72A7D-B1E6-4C44-9643-DCA8C8F95321
72461772-D75B-441A-BAFE-05DD368B0F88,,2009-03-01 09:01:56,9812/4120,
49697BDE-B928-4F37-8336-060F7B1D09FE,,2005-11-01 00:00:00,9802/4740,BF54B40E-231F-4D60-A128-279000C1D624
7569B31B-3961-4B93-8FA7-064088EBF11F,,2013-01-16 10:39:40,9822/0610,59DE41B8-D56A-401C-BE0E-39CA6404D531
4D9CCED2-3B55-4A75-8C41-06780D9CE81B,,2005-11-01 00:00:00,9802/4750,BF54B40E-231F-4D60-A128-279000C1D624
2D80E497-D7CB-42CC-9C17-06C3B17E7AB3,2000-05-15 11:25:39,1996-08-29 00:00:00,9802/2360,6F71BC1B-99E6-4B9A-9DD0-F2D279994F39
CDADE578-327B-425D-83E1-074E99DDE493,,2007-07-11 00:00:00,9812/7075,
2E7F9B06-EEC2-4175-A5EE-077367F86A8F,,2015-09-07 08:00:58,9822/1060,
4C12AA1D-3EF8-414E-86B1-07A01AFBB655,,2008-07-01 00:00:00,9802/4850,8ACF0782-5046-4AA2-ABB2-67AFC900A318
837EA687-C621-4C2F-B3B9-0903F5AB317C,,2007-10-01 00:00:00,9802/1020,4352820D-226D-4FA6-987C-BB96FE95B96F
34780A57-8EB2-4557-866E-09C47E2BE883,2003-03-21 00:00:00,1995-08-31 00:00:00,9802/5810,59DE41B8-D56A-401C-BE0E-39CA6404D531
99062E85-1C18-4B66-9F64-0A880E3B1BCE,2003-09-11 00:00:00,2000-12-20 00:00:00,9802/7940,E6206E74-E250-492B-A203-F69326C31B4B
7CC6F5F9-84AC-42DB-B9DC-0ACA05679C1D,,,9812/4240,6A35BF04-B5B7-4503-ADF8-B577DFFEC2D2
F9306B1B-7703-477D-AD06-0ACE0D16735D,,,9812/9320,
0718AF46-1195-46B6-AF38-0B86EB61668F,2012-04-30 00:00:00,2009-08-31 11:27:53,9812/7090,
CAEE8FB0-0642-4BAB-B09B-0BBAF14F4BE1,,2007-06-29 00:00:00,9802/5980,8051DE7A-12ED-4D7A-85F2-1CBFA46B44DA
C2B90096-D4F6-41DD-9C8C-0C70DC4DBE83,,2008-05-01 00:00:00,9802/4990,BF54B40E-231F-4D60-A128-279000C1D624
24CF92B0-8C2B-4DEE-9125-0C9515492A62,,2001-03-01 00:00:00,9802/9015,8184791B-FFAE-4080-BAD1-FF26C71DA4D8
8BC0EC92-7A0D-4F53-9BEF-0CC43A9300AC,,2011-02-10 08:23:22,9822/0180,4352820D-226D-4FA6-987C-BB96FE95B96F
AE25E5DE-3C16-4DAB-BA71-0CC56473364C,,2009-01-21 15:56:35,9812/5105,
FB44A4BD-7315-45EC-8AEF-0D459AB78C0A,1988-11-25 11:19:06,1983-10-17 00:00:00,9802/7200,E6206E74-E250-492B-A203-F69326C31B4B
5BC7D982-20F3-4E3E-A3EF-0DE04A655135,,2012-04-30 16:19:20,9822/0090,E6206E74-E250-492B-A203-F69326C31B4B
78E40709-ACB1-4DD4-8FB5-0E39DEE7F23C,1987-06-30 00:00:00,1986-01-30 00:00:00,9802/7600,A2E464FA-1289-481A-B439-A6CBF5F0D0E5
9966C137-61E0-4459-A7BE-0E62ABF66F22,1991-08-29 17:04:05,1989-05-25 00:00:00,9802/5350,59DE41B8-D56A-401C-BE0E-39CA6404D531
F98E07E4-CA0E-4DAE-9E3A-0F3AA5CDEA00,,2010-05-17 11:02:53,9822/0160,4352820D-226D-4FA6-987C-BB96FE95B96F
4D7C8C02-EC7B-42B8-8200-0F47922EFADD,2008-02-18 13:59:11,2005-09-16 00:00:00,9812/2270,9C06D500-E638-4C55-B45D-DC52975F97DC
BFDFB88A-AF2A-4D15-A1A7-0F8634B5D275,1989-11-28 09:51:46,1985-03-10 00:00:00,9802/7550,E6206E74-E250-492B-A203-F69326C31B4B
28F83A36-4272-4B78-8F0C-0F8F62F74F6B,2008-01-31 00:00:00,2005-10-18 00:00:00,9812/7050,
