DrawingName,Number,BaseNumber,Number_right,SerialNumber,EngineNumber,SalesModel,Unnamed: 0,model,part,title,description,description_right,item_number,image_url,url,description_cleaned,title_cleaned,description_cleaned_cleaned,title_cleaned_cleaned,cat_title_cleaned_cleaned_y,combined_name
459-M5104-4,459/M6678 3,459/M6678,F650-5-1,2177290,SH320/40370U2154913,550-80WM,2840,"526-56, Sideshift. Easycontrol. AWS, Sideshift. Easycontrol. 2WS, Sideshift. Direct Control. AWS, SS500, SS600, Centremount. Easycontrol. AWS, TM320S, TM320WM, 550-140, 560-80, 4CXM, SS620, 550-80, 550-170, 531-70WM, .531-70, 531-70, Centremount. Easycontrol. 2WS, HS750, Centremount. Direct Control. AWS, 535-95, 540-170, TM320, SS750, 535-140, TG300, 540-140, 536-70AG+, 536-60DS, Sideshift. Direct Control. 2WS, 535P125, PS750, 4CX14CM BR, 541-70WM, SS700, 533-105, TM320 T4F, 4CXM-WW, PS720, 540-200, 541-70, PS760, .541-70, PS740, Centremount. Direct Control. 2WS",459/M6678 3,Распределитель АКПП,Valve block assembly,"Блок 459/M6678 от производителя JCB. Подходит для моделей JCB 4CX, JCB 531-70.",A,https://jcbdetal.ru/images/thumbnails/960/786/detailed/5/товар_1rtp-ot.jpg,https://jcbdetal.ru/transmissiya/raspredelitel-akpp/,Valve block assembly,Распределитель АКПП,Valve block assembly,Распределитель АКПП,Распределитель АКПП,Распределитель АКПП Valve block assembly
556-60400-1,556/60400 3,556/60400,E450-1-2,2443984,SJ320/41383U1308315,3CX 14HFWA,3510,"Sideshift. Easycontrol. 2WS, Sideshift. Easycontrol. AWS, Centremount. Easycontrol. AWS, Centremount. Direct Control. 2WS, 3CXD14M3NM, 3CXD14M2CM, Centremount. Easycontrol. 2WS, 3CXD14L4CM, Sideshift. Direct Control. 2WS, 3CXD14L2CM, Sideshift. Direct Control. AWS, Centremount. Direct Control. AWS, 3CXD14M2NM",556/60400 2,Гидроцилиндр челюсти,"Ram stabiliser sideshift, 70 x 40","Гидроцилиндр челюсти переднего ковша экскаватора - погрузчика 3CX - 4CX, правый. Служит для ""открытия"" челюсти переднего ковша.",A,https://jcbdetal.ru/images/thumbnails/700/573/detailed/3/Гидроцилиндр_челюсти.jpg,https://jcbdetal.ru/gidravlika/gidrocilindr-chelyusti/,"Ram stabiliser sideshift,",Гидроцилиндр челюсти,"Ram stabiliser sideshift,",Гидроцилиндр челюсти,Гидроцилиндр челюсти,"Гидроцилиндр челюсти Ram stabiliser sideshift,"
556-60400-1,556/60400 3,556/60400,E450-1-2,2443984,SJ320/41383U1308315,3CX 14HFWA,3512,"Sideshift. Easycontrol. 2WS, Sideshift. Easycontrol. AWS, Centremount. Easycontrol. AWS, Centremount. Direct Control. 2WS, 3CXD14M3NM, 3CXD14M2CM, Centremount. Easycontrol. 2WS, 3CXD14L4CM, Sideshift. Direct Control. 2WS, 3CXD14L2CM, Sideshift. Direct Control. AWS, Centremount. Direct Control. AWS, 3CXD14M2NM",556/60400 3,Гидроцилиндр челюсти,"Ram stabiliser sideshift, 70 x 40","Гидроцилиндр челюсти переднего ковша экскаватора - погрузчика 3CX - 4CX, правый. Служит для ""открытия"" челюсти переднего ковша.",A,https://jcbdetal.ru/images/thumbnails/700/573/detailed/3/Гидроцилиндр_челюсти.jpg,https://jcbdetal.ru/gidravlika/gidrocilindr-chelyusti/,"Ram stabiliser sideshift,",Гидроцилиндр челюсти,"Ram stabiliser sideshift,",Гидроцилиндр челюсти,Гидроцилиндр челюсти,"Гидроцилиндр челюсти Ram stabiliser sideshift,"
556-60459-1,556/60459 2,556/60459,E415-1-2,2443984,SJ320/41383U1308315,3CX 14HFWA,1495,"3CXS-PC, 4CX-PC, Sideshift. Easycontrol. 2WS, 3CXS, 217/3CX 17-PC, 3CX-T-PC, Sideshift. Easycontrol. AWS, 214S/4CX 14-PC, Centremount. Direct Control. AWS, 214/3CX 14, 3C PLUS (91HP), 3CX, 215S/4CX 15-PC, Sideshift. Direct Control. 2WS, 214e/3C-LL, Sideshift. Direct Control. AWS, 4CX, 214S/4CX 14, 411, 217/3CX 17, 214e/3C 14, 3CX-T, 215S/4CX 15, 4CXM (FRANCE), Centremount. Direct Control. 2WS, Centremount. Easycontrol. AWS, 3C 14 (84HP), .411, 215/3CX 15-PC, Centremount. Easycontrol. 2WS, 3C, 217S/4CX 17-PC, 4CX14CM BR, 215/3CX 15, 217S/4CX 17, 214/3CX 14-PC",556/60459 2,Гидроцилиндр целюсти JCB 3cx 4cx,"Ram clamshovel 70x40, 470 closed centres",Гидроцилиндр челюсти JCB  экскаватора - погрузчика  JCB 4CX 3CX.,A,https://jcbdetal.ru/images/thumbnails/1146/937/detailed/4/556-60459.jpg,https://jcbdetal.ru/gidravlika/gidrocilindr-celyusti-jcb-3cx-4cx/,Ram clamshovel closed centres,Гидроцилиндр целюсти,Ram clamshovel closed centres,Гидроцилиндр целюсти,Гидроцилиндр целюсти,Гидроцилиндр целюсти Ram clamshovel closed centres
556-60459-1,556/60459 2,556/60459,E415-1-2,2443984,SJ320/41383U1308315,3CX 14HFWA,1520,"3CXS-PC, 4CX-PC, Sideshift. Easycontrol. 2WS, 3CXS, 217/3CX 17-PC, 3CX-T-PC, Sideshift. Easycontrol. AWS, 214S/4CX 14-PC, Centremount. Direct Control. AWS, 214/3CX 14, 3C PLUS (91HP), 3CX, 215S/4CX 15-PC, Sideshift. Direct Control. 2WS, 214e/3C-LL, Sideshift. Direct Control. AWS, 4CX, 214S/4CX 14, 411, 217/3CX 17, 214e/3C 14, 3CX-T, 215S/4CX 15, 4CXM (FRANCE), Centremount. Direct Control. 2WS, Centremount. Easycontrol. AWS, 3C 14 (84HP), .411, 215/3CX 15-PC, Centremount. Easycontrol. 2WS, 3C, 217S/4CX 17-PC, 4CX14CM BR, 215/3CX 15, 217S/4CX 17, 214/3CX 14-PC",556/60459 1,Гидроцилиндр целюсти JCB 3cx 4cx,"Ram clamshovel 70x40, 470 closed centres",Гидроцилиндр челюсти JCB  экскаватора - погрузчика  JCB 4CX 3CX.,A,https://jcbdetal.ru/images/thumbnails/1146/937/detailed/4/556-60459.jpg,https://jcbdetal.ru/gidravlika/gidrocilindr-celyusti-jcb-3cx-4cx/,Ram clamshovel closed centres,Гидроцилиндр целюсти,Ram clamshovel closed centres,Гидроцилиндр целюсти,Гидроцилиндр целюсти,Гидроцилиндр целюсти Ram clamshovel closed centres
128-G2288-1,128/G2288 2,128/G2288,B170-11-3,2443984,SJ320/41383U1308315,3CX 14HFWA,2375,"Centremount. Direct Control. 2WS, 3CXD14L2CM, Sideshift. Direct Control. 2WS, Sideshift. Direct Control. AWS, 3CXD14M3NM, Centremount. Direct Control. AWS, 4CX14CM BR, 3CXG14L4CM, 3CXD14M2CM, Sideshift. Easycontrol. 2WS, 3CXD14L4CM, Centremount. Easycontrol. 2WS, 3CXD14M2NM, 3CXB14M2CM, E3CX T2, Centremount. Easycontrol. AWS, Sideshift. Easycontrol. AWS",128/G2288 2,Капот,Bonnet Assembly ABI,"Капот артикул 128/G2288. Подходит для моделей  JCB 3CX, JCB 4CX.",A,https://jcbdetal.ru/images/thumbnails/3608/2952/detailed/5/3b12b1f2-c6bc-11ea-937e-c8600076e4c1_20ec5de4-cb16-11ea-82fd-201a0621aa27-min.jpeg,https://jcbdetal.ru/elementy-kuzova/kapot/,Bonnet Assembly ABI,Капот,Bonnet Assembly ABI,Капот,Капот,Капот Bonnet Assembly ABI
128-F9250-2,128/H9642 1,128/H9642,B170-23-1,2443984,SJ320/41383U1308315,3CX 14HFWA,1276,"Centremount. Direct Control. 2WS, Centremount. Easycontrol. AWS, Sideshift. Easycontrol. AWS, Sideshift. Direct Control. 2WS, 3CXD14M3NM, 3CXD14L4CM, Centremount. Direct Control. AWS, E3CX T2, 3CXD14M2NM, 3CXG14L4CM, 3CXD14L2CM, 3CXD14M2CM, Centremount. Easycontrol. 2WS, Sideshift. Direct Control. AWS, 3CXB14M2CM, Sideshift. Easycontrol. 2WS",128/H9642 1,Решетка радиатора JCB 3cx,Grille Assembly 2WS,"Решетка радиатора маленькая со скосами JCB 3cx  радиатора без замка ,ключа и эмблемы JCB",A,https://jcbdetal.ru/images/thumbnails/1936/1584/detailed/4/128-H9642.jpeg,https://jcbdetal.ru/elementy-kuzova/reshetka-radiatora-jcb-3cx/,Grille Assembly,Решетка радиатора,Grille Assembly,Решетка радиатора,Решетка радиатора,Решетка радиатора Grille Assembly
162812,556/60417 2,556/60417,E470-1-2,2443984,SJ320/41383U1308315,3CX 14HFWA,2384,"Sideshift. Direct Control. AWS, Centremount. Direct Control. AWS, Centremount. Easycontrol. AWS, Sideshift. Easycontrol. 2WS, Centremount. Easycontrol. 2WS, Centremount. Direct Control. 2WS, Sideshift. Easycontrol. AWS, Sideshift. Direct Control. 2WS",556/60417 2,Гидроцилиндр телескопа JCB 3cx 4cx,Ram extending dipper 70 X 40,Гидроцилиндр рукояти экскаватора - погрузчика 3CX - 4CX. Служит для выдвижения телескопической рукояти на задней стреле. На машинах с фиксированной рукоятью не устанавливается.,A,https://jcbdetal.ru/images/thumbnails/427/350/detailed/4/556-60417.jpg,https://jcbdetal.ru/gidravlika/gidrocilindr-teleskopa-jcb-3cx-4cx/,Ram extending dipper 70 X 40,Гидроцилиндр телескопа,Ram extending dipper 70 X 40,Гидроцилиндр телескопа,Гидроцилиндр телескопа,Гидроцилиндр телескопа Ram extending dipper 70 X 40
128-14725-4,128/14725 6,128/14725,E490-4-6,2443984,SJ320/41383U1308315,3CX 14HFWA,2561,"Centremount. Direct Control. 2WS, Sideshift. Easycontrol. AWS, Sideshift. Direct Control. 2WS, Centremount. Direct Control. AWS, Sideshift. Direct Control. AWS, Centremount. Easycontrol. 2WS, 4CXM-WW, Sideshift. Easycontrol. 2WS, 4CXM, Centremount. Easycontrol. AWS",128/14725 4,Гидравлический фиксатор каретки (2 входа) (аналог),Cylinder clamp top ( 2 ports ),"Экскаваторы-погрузчикиJCB 3CX: 3CX 14M2WA, 3CX 14M2WM, 3CX-4T, 3CX-4WS-SM, 3CXCSM 4T, 3CXD14M2NM, 3CXS14M2NM, 3CXSM 4TJCB 4CX: 4CX 14H2WA, 4CX 14H2WM, 4CX-4WS, 4CX-4WS-SMJCB 5CX",A,https://jcbdetal.ru/images/thumbnails/1296/1060/detailed/5/128_14725.png,https://jcbdetal.ru/gidravlika/gidravlicheskiy-fiksator-karetki-2-vhoda-analog/,Cylinder clamp top ( 2 ports ),Гидравлический фиксатор (2 входа),Cylinder clamp top ( 2 ports ),Гидравлический фиксатор (2 входа),Гидравлический фиксатор,Гидравлический фиксатор (2 входа) Cylinder clamp top ( 2 ports )
128-14725-4,128/14725 6,128/14725,E490-4-6,2443984,SJ320/41383U1308315,3CX 14HFWA,2566,"Centremount. Direct Control. 2WS, Sideshift. Easycontrol. AWS, Sideshift. Direct Control. 2WS, Centremount. Direct Control. AWS, Sideshift. Direct Control. AWS, Centremount. Easycontrol. 2WS, 4CXM-WW, Sideshift. Easycontrol. 2WS, 4CXM, Centremount. Easycontrol. AWS",128/14725 6,Гидравлический фиксатор каретки (2 входа) (аналог),Cylinder clamp top ( 2 ports ),"Экскаваторы-погрузчикиJCB 3CX: 3CX 14M2WA, 3CX 14M2WM, 3CX-4T, 3CX-4WS-SM, 3CXCSM 4T, 3CXD14M2NM, 3CXS14M2NM, 3CXSM 4TJCB 4CX: 4CX 14H2WA, 4CX 14H2WM, 4CX-4WS, 4CX-4WS-SMJCB 5CX",A,https://jcbdetal.ru/images/thumbnails/1296/1060/detailed/5/128_14725.png,https://jcbdetal.ru/gidravlika/gidravlicheskiy-fiksator-karetki-2-vhoda-analog/,Cylinder clamp top ( 2 ports ),Гидравлический фиксатор (2 входа),Cylinder clamp top ( 2 ports ),Гидравлический фиксатор (2 входа),Гидравлический фиксатор,Гидравлический фиксатор (2 входа) Cylinder clamp top ( 2 ports )
