sub_part,drawing_name,item_number,ShapePath
334/L2028,126-00782-1,2,"m233,1081 l326,1081 l326,1168 l233,1168 x e "
808/00422,215692,1,"m642,166 l701,166 l701,225 l642,225 x e"
332/G6390,128-G6175-3,14,"m1211,611 l1270,611 l1270,670 l1211,670 x e "
332/G3554,332-F8149-1,43,"m244,810 l303,810 l303,869 l244,869 x e "
32/925968,FS90177-1,3,"m650,1069 l709,1069 l709,1128 l650,1128 x e "
332/G0942,126-01066-11,2,"m1239,1349 l1298,1349 l1298,1408 l1239,1408 x e "
556/60400,556-60400-1,A,"m1376,267 l1435,267 l1435,326 l1376,326 x e "
904/M3206,441-M6148-7,71,"m1468,1688 l1527,1688 l1527,1747 l1468,1747 x e "
911/40104,332-Y2289-1,1,"m244,797 l303,797 l303,856 l244,856 x e "
581/18096,789011,1-1,"m119,1004 l178,1004 l178,1063 l119,1063 x e"
32/925336,174782,14,"m524,174 l578,174 l578,229 l524,229 x e "
128/E5189,951050,1,"m1085,109 l1144,109 l1144,168 l1085,168 x e "
910/50700,272991,16,"m600,1446 l659,1446 l659,1505 l600,1505 x e"
827/80151,389490,8,"m212,256 l271,256 l271,315 l212,315 x e"
910/60215,128-15053-4,1A,"m856,246 l915,246 l915,305 l856,305 x e "
32/925716,935240,8,"m1365,971 l1424,971 l1424,1030 l1365,1030 x e "
32/925763,818410,6,"m1166,1150 l1225,1150 l1225,1209 l1166,1209 x e "
331/11841,556350,2-1,"m994,1627 l1053,1627 l1053,1686 l994,1686 x e "
993/66300,103401,1,"m854,1188 l893,1188 l893,1228 l854,1228 x e"
980/89993,980-89993-3,A,"m355,249 l414,249 l414,308 l355,308 x e "
332/C0010,934102,6,"m485,31 l544,31 l544,90 l485,90 x e"
331/50774,781390,1,"m323,513 l382,513 l382,572 l323,572 x e "
331/56478,128-10807-6,3,"m1115,1104 l1174,1104 l1174,1163 l1115,1163 x e "
25/222578,781471,1,"m0,320 l59,320 l59,379 l0,379 x e "
333/D8456,980-89881-6,4,"m621,1638 l679,1638 l679,1688 l621,1688 x e "
580/12185,791010,9,"m489,690 l548,690 l548,749 l489,749 x e "
581/M7013,475-M4881-3,7,"m855,929 l916,929 l916,990 l855,990 x e "
32/925684,740571,1,"m78,12 l137,12 l137,71 l78,71 x e "
128/C1230,128-C1418-1,1,"m462,632 l521,632 l521,691 l462,691 x e "
6079/0513,215-13422-6,32,"m66,564 l125,564 l125,623 l66,623 x e "
911/33000,332-G5644-2,33,"m1206,411 l1263,411 l1263,465 l1206,465 x e "
32/925838,870470,5,"m1015,694 l1074,694 l1074,753 l1015,753 x e "
332/C4388,980-90468-1,4,"m508,1257 l567,1257 l567,1316 l508,1316 x e "
811/90590,980-A1081-3,100,"m293,1379 l352,1379 l352,1438 l293,1438 x e "
335/08180,743124,12,"m196,419 l255,419 l255,478 l196,478 x e "
331/59839,333-F1971-3F,350,"m685,1461 l764,1461 l764,1520 l685,1520 x e "
701/80476,911860,40,"m443,654 l502,654 l502,713 l443,713 x e "
32/925845,128-P7193-1,1,"m449,43 l508,43 l508,102 l449,102 x e "
331/52662,128-F8085-3,2,"m1140,997 l1199,997 l1199,1056 l1140,1056 x e "
332/P7213,128-14818-9,2,"m92,1054 l151,1054 l151,1113 l92,1113 x e "
581/M7013,128-F7615-6,50,"m1399,1714 l1458,1714 l1458,1773 l1399,1773 x e "
717/14600,279393,1,"m1092,1138 l1151,1138 l1151,1197 l1092,1197 x e"
332/G3555,333-D9864-1,15B,"m100,1525 l159,1525 l159,1584 l100,1584 x e "
581/M7013,128-F7624-8,50,"m1351,1736 l1410,1736 l1410,1795 l1351,1795 x e "
581/M7013,475-M4881-3,7,"m855,929 l916,929 l916,990 l855,990 x e "
333/C3871,333-C3871-1,A,"m224,184 l283,184 l283,243 l224,243 x e "
556/60459,126-03150-8,11,"m681,1124 l740,1124 l740,1183 l681,1183 x e "
32/925845,332-T5717-9,1,"m355,1198 l414,1198 l414,1257 l355,1257 x e "
811/90473,389520,15,"m1202,633 l1261,633 l1261,692 l1202,692 x e "
